,,,,
,,,,
,,型番等,名称等,備考
,,C-16438,"ＵＳＢ　Ｔｙｐｅ－Ｃコネクタ　電源供給用",
,,I-14653,"ＮｃｈパワーＭＯＳＦＥＴ　３０Ｖ５．７Ａ　ＡＯ３４００Ａ",
,,"Amazon                                       IP2721D",,
,,P-15828,"オーディオ用電解コンデンサー　１０μＦ６３Ｖ８５℃　ニチコンＦＧ",
,,I-16060,"低損失レギュレーター　３．３Ｖ１．５Ａ",
,,https://www.marutsu.co.jp/pc/i/74725/,CC6-1203SR-E,
,,P-15626,BNX029-01,
,,https://www.marutsu.co.jp/pc/i/15910225/,BNX025H01,
,,C-12810,S2B-PH-SM4-TB,
,,https://www.marutsu.co.jp/pc/i/30458555/,ADS122U04IPWR,
,,P-15303,コモンモードチョーク（ノイズフィルタ）,
,,https://jp.rs-online.com/web/p/ethernet-connectors/8006898,RJ11_Inverted_Right_Angle_Dual_Port_PCB_Modular_Jack_6_6,
,,P-03141,"ＤＩＰスイッチ　２Ｐ",
,,I-14737,シュミットトリガインバータ,
,,I-16602,RS485コントローラ,
,,https://jp.rs-online.com/web/p/dip-sip-switches/6821005,"ＤＩＰスイッチ　3Ｐ",
,,C-02395,"micro SD",
,,,,
,,www.amazon.co.jp/dp/B01N9YCTLF,"パナソニック コイン充電池 ML1220 横型端子付き",
,,https://www.marutsu.co.jp/pc/i/42439094/,SAM-M10Q,
,,I-16304,ショットキーバリアダイオード,
,,,"1.4k 1608 抵抗",充電回路
,,P-08322,"ＳＭＤパワーインダクター（ＮＲシリーズ）　４７μＨ",
,,https://www.marutsu.co.jp/pc/i/26749528/,"B3AL-1002P-MS　長ストロークタクトスイッチ",
,,https://jp.rs-online.com/web/p/slide-switches/7347343,"RS PRO スライドスイッチ 単極双投(SPDT) 3 A @ 120 V ac",
,,https://www.marutsu.co.jp/pc/i/33212673/,"RJコネクタ　6ポート",
,,https://www.marutsu.co.jp/pc/i/10084662/,"RJコネクタ　2ポート",
,,I-16211,"ＲＳ４８５ドライバ　ＭＡＸ３４８５ＥＤ",
